id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;country;time_zone;is_city;is_main_station;is_airport;is_suggestable;country_hint;main_station_hint;sncf_id;sncf_tvs_id;sncf_is_enabled;entur_id;entur_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;distribusion_id;distribusion_is_enabled;flixbus_id;flixbus_is_enabled;cff_id;cff_is_enabled;leoexpress_id;leoexpress_is_enabled;obb_id;obb_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;westbahn_id;westbahn_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nb;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh;normalised_code;iata_airport_code
8607;Alkmaar;alkmaar;8400050;;52.6379540000;4.7384740000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAA;;f;;f;8400050;t;;f;;f;18688;t;;f;;f;8400050;f;;f;;f;;;;f;;f;;f;;f;NLAMR;t;;f;f;;;;;;;;;;;;アルクマール;알크마르;;;Алкмаар;;;阿尔克马尔;urn:trainline:public:nloc:csv8607;
8608;Almelo;almelo;8400051;;52.3567350000;6.6556760000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAB;;f;;f;8400051;t;;f;;f;;f;;f;;f;8400051;f;;f;;f;;;;f;;f;;f;;f;NLAML;t;;f;f;;;;;;;;;;;;;;;;Алмело;;;;urn:trainline:public:nloc:csv8608;
8609;Amsterdam Sloterdijk;amsterdam-sloterdijk;8400059;;52.3890250000;4.8381110000;8657;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAC;;f;;f;8400059;t;;f;;f;;f;;f;;f;8400059;f;;f;;f;;;;f;;f;;f;;f;NLAAC;t;;f;f;;;;;;;;;;;Amszterdam;アムステルダム;암스테르담;;Amesterdão;Амстердам;;;阿姆斯特丹;urn:trainline:public:nloc:csv8609;
8610;Apeldoorn;apeldoorn;8400066;;52.2094200000;5.9674800000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAD;;f;;f;8400066;t;u1k1pb;t;;f;5048;t;;f;;f;8400066;f;;f;;f;;;;f;;f;;f;;f;NLAPD;t;;f;f;;;;;;;;;;;;アペルドールン;아펠도른;;;Апелдорн;;;阿珀尔多伦;urn:trainline:public:nloc:csv8610;
8615;Delft;delft;8400170;;52.0114240000;4.3530890000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAI;;f;;f;8400170;t;u15pg1;t;;f;3378;t;;f;;f;8400170;f;;f;;f;;;;f;;f;;f;;f;NLDET;t;;f;f;;;;;;;;;;;;デルフト市;;;;Делфт;;;;urn:trainline:public:nloc:csv8615;
8616;Deventer;deventer;8484173;;52.2576110000;6.1601090000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAJ;;f;;f;8400173;t;u1k3k0;t;NLDEV;t;3388;t;;f;;f;8400173;f;;f;;f;;;;f;;f;;f;;f;NLDVT;t;;f;f;;;;;;;;;;;;デーフェンテル;데벤터르;;;Девентер;;;代芬特尔;urn:trainline:public:nloc:csv8616;
8619;Gouda;gouda;8400258;;52.0176260000;4.7029040000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAM;;f;;f;8400258;t;;f;;f;;f;;f;;f;8400258;f;;f;;f;;;;f;;f;;f;;f;NLGDA;t;;f;f;;;;;;;;;;;;ゴーダ;하우다;;;Гауда;;;豪达;urn:trainline:public:nloc:csv8619;
8620;Groningen;groningen;8400263;;53.2125800000;6.5641210000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAN;;f;;f;8400263;t;u1kwv2;t;NLGRQ;t;1404;t;;f;;f;8400263;f;;f;;f;;;;f;;f;;f;;f;NLGNG;t;;f;f;;;;Groninga;Groningue;Groninga;;;;;;フローニンゲン;흐로닝언;;;Гронинген;;;格罗宁根;urn:trainline:public:nloc:csv8620;
8621;Den Helder;den-helder;8400311;;52.9545720000;4.7604800000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAO;;f;;f;8400311;t;;f;;f;;f;;f;;f;8400311;f;;f;;f;;;;f;;f;;f;;f;NLDHD;t;;f;f;;;;;Le Helder;;;;;;;デン・ヘルダー;;;;Ден-Хелдер;;;登海尔德;urn:trainline:public:nloc:csv8621;
8624;Hilversum;hilversum;8400322;;52.2263470000;5.1801950000;;NL;Europe/Amsterdam;f;f;f;t;f;f;NLAAR;;f;;f;8400322;t;;f;;f;;f;;f;;f;8400322;f;;f;;f;;;;f;;f;;f;;f;NLHVS;t;;f;f;;;;;;;;;;;;;;;;Хилверсюм;;;希爾弗瑟姆;urn:trainline:public:nloc:csv8624;
